symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
BHMT	0.037327565323154885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.7167499999999997	No data	-0.14616657473800332	-0.8988630018410393	0	No data	No data	-0.23645250000000004	0.75	0.5
TTC6	0.10608912132567364	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8725427445234405	No data	0	0	0	0	0	0	No data	-0.04169884169884175	0	No data	No data	No data	0	0.5	0.5
SPANXB1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	No data	No data	No data	No data	0	No data	No data	-0.4902899999999999	1	0.5
GDF7	0.0735240008780057	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6047069926943953	No data	0	1	0	0	0	0.14444500000000032	No data	0.8071704357418643	-0.6507216294771001	0	No data	No data	0	0.5	0
DAZ4	0.10854795900328633	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09906981921619236	No data	0.8679982960818989	No data	0	0	0	0	0	No data	No data	No data	0	No data	No data	No data	-0.4813275000000001	0.75	0.5
MLLT1	0.012011345277252809	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09878875461188842	No data	No data	No data	0	0	1	1	0	0.3202150000000003	1	-0.8162162162162162	No data	0	No data	No data	0	-1	-1
MTREX	0.006652437384324632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	0	1	0	0.8752400000000001	No data	-0.5092112520683949	No data	-1	No data	No data	0	-1	-1
CIB4	0.17344400199161442	0.2396284546070603	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0805508306835398	No data	0.8776748013691745	No data	No data	No data	0	0	0	0.5945950000000003	No data	0.6526199669056811	0	0	No data	No data	0	1	0.5
CD27	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	0.5	0	0	0	0	0	0	No data	-0.03938223938223939	-0.7211757269368058	0	No data	No data	0	1	0
RXRB	0.09953603360858058	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	0.8148465185466599	1	0	0	1	1	1	0	1	-0.6741312741312742	-0.6743647152194615	0	-1	No data	-0.03376999999999999	-1	0
