symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CLPP	0.052201989308682965	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04819202528400123	No data	0.4293415427690867	No data	0	0	0	1	0	0.27798000000000017	No data	-0.055819084390512974	-0.8199568379076368	0	No data	No data	No data	-1	-1
LATS1	0.05212538283630169	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4287114836185861	No data	0	0	1	1	0	0.6548650000000003	No data	-0.8719249862107005	-0.8401404990951891	0	No data	-1	0	-1	-1
AGPAT1	0.05177419907961047	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42582313055216037	No data	0	0	0	0	0	0.558305	No data	-0.8304467733039161	-0.8646841890343301	0	No data	No data	0	-1	0
AP3D1	0.05171526989437443	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4253384603769731	No data	0	0	0	0	0	0.42798500000000034	No data	-0.7489244346387203	-0.8172185383760391	0	No data	No data	No data	-1	-1
TYRP1	0.05171526989437443	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4253384603769731	0.5	0	0	0	0	0	0.2644300000000001	No data	0.6027578599007171	-0.7587213577331899	0	No data	No data	0	0.75	0
BAG5	0.05166614422879855	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15080061174088266	No data	0.4249344204289323	No data	0	0	0	0	0	0.5637599999999999	No data	0.133480419194705	-0.9007502205391268	0	No data	No data	0	1	-1
EPHA4	0.051583081606909796	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42425126189990986	1	1	0	1	1	1	0.9290050000000001	0	-0.919911748483177	-0.3363979028321229	0	No data	No data	-0.12018249999999994	0.5	0
TSN	0.05129571025136841	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4218877416055739	No data	0	0	0	0	0	0.9342100000000002	No data	-0.8796469939327082	-0.19135483423711436	0	No data	No data	0	-1	-1
ACD	0.05128978508745343	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4218390093819535	No data	0	0	0	0	0	0	No data	-0.08086045228902372	-0.7690583348419779	0	No data	No data	No data	-1	-1
PIAS1	0.05116047644213622	0.08415509897365044	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669727	No data	No data	No data	0	0	0	0	0	0.9001550000000001	No data	-0.9848869277440706	-0.6785513360000736	0	No data	No data	0	-1	-1
TMEM132B	0.05110389028077779	0.08406201903497856	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.28900999999999966	No data	-0.8969663541092112	-0.5208031853240863	0	No data	No data	0	1	0.5
LGALS3	0.05099828914540551	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.057584556107100775	No data	0.41944156592956455	0.5	1	1	1	1	0	0.2	No data	0.3205736348593491	-0.9479192097519068	0	-1	No data	0	0.5	-1
